Date,TH,ID,KR,MY,PH,SG,HK
1996-04-01,,587.5811157226562,,1158.43994140625,2918.32958984375,2376.0,10926.7998046875
1996-04-02,,588.2501220703125,,1153.219970703125,2938.63427734375,2365.800048828125,11144.599609375
1996-04-03,,595.0408325195312,,1155.6600341796875,2962.0283203125,2381.10009765625,11139.900390625
1996-04-04,,605.0634155273438,,1156.0899658203125,2962.0283203125,2396.5,
1996-04-05,,,,1153.0899658203125,2962.0283203125,,
1996-04-08,,597.6198120117188,,1134.6300048828125,2962.0283203125,2365.199951171875,
1996-04-09,,597.329833984375,,1133.9000244140625,2962.0283203125,2382.10009765625,11107.400390625
1996-04-10,,603.9124755859375,,1151.739990234375,2993.47021484375,2390.0,11077.599609375
1996-04-11,,605.3133544921875,,1147.6099853515625,2989.47119140625,2384.800048828125,10892.599609375
1996-04-12,,607.0263671875,,1150.239990234375,2986.721923828125,2384.0,10849.7998046875
1996-04-15,,612.9721069335938,,1160.47998046875,3007.82666015625,2384.39990234375,10949.599609375
1996-04-16,,619.2368774414062,,1167.3699951171875,3015.8544921875,2401.39990234375,11033.0
1996-04-17,,624.1456909179688,,1165.030029296875,2986.921875,2403.89990234375,10962.7001953125
1996-04-18,,620.9498291015625,,1167.280029296875,2958.04931640625,2387.89990234375,10909.2998046875
1996-04-19,,624.5096435546875,,1172.199951171875,2957.2294921875,2399.300048828125,10818.5
1996-04-22,,628.3615112304688,,1174.22998046875,2973.105712890625,2379.0,10910.0
1996-04-23,,627.8045043945312,,1173.8800048828125,2995.829833984375,2378.699951171875,10889.099609375
1996-04-24,,630.1945190429688,,1169.43994140625,2968.566650390625,2381.199951171875,10898.7001953125
1996-04-25,,625.3556518554688,,1162.1400146484375,2972.545654296875,2384.800048828125,10753.400390625
1996-04-26,,628.216552734375,,1173.4300537109375,2979.81396484375,2401.60009765625,10732.7998046875
1996-04-29,,625.3016357421875,,,2959.339111328125,,10835.7998046875
1996-04-30,,623.8847045898438,,1189.5400390625,2937.224609375,2415.699951171875,10964.5
1996-05-01,,629.447509765625,,,2937.224609375,,10907.0
1996-05-02,,622.8387451171875,,1186.1300048828125,2955.239990234375,2408.300048828125,10929.900390625
1996-05-03,,608.0973510742188,,1178.4300537109375,2974.795166015625,2413.300048828125,10734.2001953125
1996-05-06,,599.6486206054688,,1164.3199462890625,2974.795166015625,2400.699951171875,10697.5
1996-05-07,,613.8161010742188,,1161.93994140625,3013.4951171875,2396.199951171875,10702.2001953125
1996-05-08,,615.5010986328125,,1151.7900390625,3065.261962890625,2371.800048828125,10617.2998046875
1996-05-09,,620.247802734375,,1162.1400146484375,3128.275634765625,2374.60009765625,10573.0
1996-05-10,,619.2559204101562,,1160.06005859375,3110.630126953125,2370.199951171875,10597.7001953125
1996-05-13,,621.4698486328125,,1163.9599609375,3116.248779296875,2385.5,10746.0
1996-05-14,,617.9989013671875,,1163.989990234375,3126.095947265625,2365.199951171875,10817.900390625
1996-05-15,,619.8128662109375,,1154.0899658203125,3122.76708984375,2321.5,10863.7998046875
1996-05-16,,,,1149.97998046875,3111.619873046875,2347.89990234375,10833.400390625
1996-05-17,,621.3738403320312,,1155.550048828125,3115.888671875,2341.800048828125,10816.900390625
1996-05-20,,617.6680297851562,,,3110.55029296875,2322.89990234375,10987.599609375
1996-05-21,,617.27001953125,,1146.0799560546875,3126.166015625,2310.199951171875,11088.7998046875
1996-05-22,,616.3670043945312,,1140.4000244140625,3155.15869140625,2313.0,11082.7998046875
1996-05-23,,617.2960205078125,,1141.5400390625,3195.42822265625,2335.89990234375,11030.7998046875
1996-05-24,,618.036865234375,,1151.68994140625,3212.26416015625,2351.10009765625,11019.2001953125
1996-05-27,,620.6438598632812,,1140.699951171875,3255.262939453125,2350.39990234375,11081.7001953125
1996-05-28,,620.9618530273438,,1141.97998046875,3246.925048828125,2356.89990234375,11107.0
